,inter_sent_economic_activity_x_gdp,inter_sent_financial_conditions_x_vix,inter_sent_labor_market_x_unemployment_gap,inter_sent_monetary_policy_x_implied_ffr,inter_sent_inflation_x_inflation_dev_from_target,inter_sent_macro_x_cfnai
130,-266282.0345071348,-535.5605497957725,-6.549919271627163,82.58583339289972,14.935926421411828,0.7708396658478405
131,-223342.17509772748,-313.90744926104287,-1.4856339027214167,51.62410689629661,8.004842769786183,0.11493576534734785
132,-270441.09449952375,-284.3600681193978,3.3855294567648397,68.66043808761862,15.657322431382834,0.46959900008550437
133,-221343.25659245273,-309.7276360871358,-3.075855931705292,42.87974402953425,2.8902916915040544,0.06588808006757674
134,91451.21462374624,-31.2008644892412,-0.6202376064331128,47.17116744802281,4.663919081066887,-0.015204941554056169
135,243406.742781736,-429.4487776610988,-5.907993636649232,27.59016992672282,17.27803956423381,-0.589276770247633
136,-99878.46889675685,-142.99317493528045,-0.0,22.200812549042297,3.9955505299821477,0.5806801516361836
137,-78988.77121286947,-120.26043249216868,-4.386223050709817,0.8884845036754166,-3.0346180893664916,1.7155392718858646
138,-111011.91109374329,-449.2138095187907,0.3027692805232216,-16.55569055421255,0.6038680426099089,0.3570489938171358
139,-62619.763670268476,-186.37890538713273,-1.8529429166723428,33.79685122909586,1.4421925097956678,-0.7258501895452295
140,228218.47445667745,-81.63223200639663,3.922847864490192,14.556243707012175,0.7411607391812848,1.5071757039190476
141,-161032.1744034559,-321.6027682024057,2.0104927514034494,-5.284972698634709,-0.9395050414954601,2.2825389732230574
142,-107578.79668213316,-133.1597684031021,2.536577449249413,2.348542182648187,-0.3826553106418408,-0.10428475126377053
143,-21564.367428863345,-310.82937041583295,1.976690355434124,-56.11241559675001,-2.2008488469777716,-0.08239592165010823
144,155889.616377612,-165.28815241955016,-0.4504137341246923,-22.836718588864045,-5.335763566415849,-0.2859232119809775
145,156103.73877575423,-139.18333152499903,-0.11162868304726882,-28.711187511642525,-0.8289833274896812,-0.179801295282363
146,204652.54054535527,-441.1270362250694,-1.4673527581492836,11.909157544966007,0.18852982660331455,0.42204264006931796
147,-82334.48725092593,-302.3293608141514,0.6870267594003876,-36.12606353319558,-0.1410859279294224,0.90077866054815
148,-237112.83781591794,-176.0491557198373,0.4601289607273158,-40.809588363574555,-0.21051962614313427,0.3582551491944339
149,-418881.0583654678,-135.94416638825538,1.0433273554157774,-13.176345041589434,1.3438538009862018,0.0
150,-354929.72094594286,-4.72357227976227,0.30882000920109476,-15.267666218147017,-1.322092860483787,0.46653946167630017
151,-148939.7508665325,-186.71955216412434,0.29922950919165503,-31.773878326319245,-0.925915426759557,3.1806860711702543
152,-100953.8612640923,-353.272737120393,-1.145097859992004,-58.021554150091184,-3.2296653191687485,-0.11796247178237738
